Ref,Val,Package,PosX,PosY,Rot,Side
"A","LED","LED_0603_1608Metric",160.336100,-100.611600,180.000000,top
"B","LED","LED_0603_1608Metric",160.310800,-98.833600,180.000000,top
"C1","10u","C_0603_1608Metric",155.117600,-94.142800,0.000000,top
"C2","100n","C_0402_1005Metric",154.617600,-97.563600,0.000000,top
"C3","100n","C_0402_1005Metric",154.519600,-92.788400,0.000000,top
"C4","10p","C_0402_1005Metric",138.365200,-96.065000,-90.000000,top
"C5","100n","C_0402_1005Metric",145.883600,-98.782800,180.000000,top
"C6","10p","C_0402_1005Metric",138.367600,-94.083800,90.000000,top
"C7","100n","C_0402_1005Metric",137.806400,-70.233200,180.000000,top
"C8","100n","C_0402_1005Metric",133.367600,-85.392800,180.000000,top
"C9","100n","C_0402_1005Metric",150.067600,-100.592800,0.000000,top
"C10","100n","C_0402_1005Metric",151.667600,-103.354800,0.000000,top
"C11","3p3","C_0402_1005Metric",147.913000,-100.637000,180.000000,top
"C12","10u","C_0603_1608Metric",150.667600,-105.092800,0.000000,top
"C13","3p3","C_0402_1005Metric",147.915600,-104.828000,180.000000,top
"C14","10u","C_0603_1608Metric",154.773600,-91.162800,180.000000,top
"C15","10u","C_0603_1608Metric",135.235600,-75.414800,90.000000,top
"C16","100n","C_0402_1005Metric",136.259600,-72.874800,180.000000,top
"C17","100n","C_0402_1005Metric",149.947600,-89.892800,0.000000,top
"C18","10u","C_0603_1608Metric",142.073600,-76.430800,-90.000000,top
"C19","100n","C_0402_1005Metric",144.613600,-76.176800,0.000000,top
"C20","100n","C_0402_1005Metric",144.585600,-72.112800,0.000000,top
"C21","100n","C_0402_1005Metric",159.599600,-70.944400,0.000000,top
"Crystal1","40MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",133.825600,-95.842800,90.000000,top
"D3","LED","LED_0603_1608Metric",136.739600,-77.954800,0.000000,top
"IC1","W25Q16JVUXIQ_TR","SON50P300X200X60-9N",151.217600,-87.860800,180.000000,top
"J1","Conn_01x04_Male","PinHeader_1x04_P2.00mm_Vertical",130.288000,-81.612400,0.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",148.617600,-64.642800,180.000000,top
"L1","2n2","L_0603_1608Metric",149.867600,-102.680300,-90.000000,top
"L2","2n2","L_0603_1608Metric",148.065400,-102.694500,-90.000000,top
"L3","2n2","L_0603_1608Metric",144.359600,-74.144800,90.000000,top
"R1","22R","R_0402_1005Metric",154.650873,-96.428091,180.000000,top
"R2","22R","R_0402_1005Metric",138.822400,-97.665200,0.000000,top
"R3","5k1","R_0402_1005Metric",137.806400,-69.064800,0.000000,top
"R4","470R","R_0402_1005Metric",139.787600,-86.844800,0.000000,top
"R5","470R","R_0402_1005Metric",139.867600,-84.142800,180.000000,top
"R6","1k","R_0402_1005Metric",162.698400,-100.814800,-90.000000,top
"R7","1k","R_0402_1005Metric",162.698400,-98.577600,90.000000,top
"R8","5k1","R_0402_1005Metric",159.597600,-69.725200,0.000000,top
"R9","1k","R_0402_1005Metric",133.943600,-77.954800,180.000000,top
"R10","5k1","R_0402_1005Metric",146.239200,-71.249200,90.000000,top
"R11","5k1","R_0402_1005Metric",151.420800,-71.046000,90.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P",137.654000,-66.067600,-90.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P",158.990000,-66.474000,90.000000,top
"U1","USBLC6-2SC6","SOT-23-6",136.513600,-85.295400,180.000000,top
"U2","ESP32-C3","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",150.199000,-96.827000,90.000000,top
"U3","USBLC6-2SC6","SOT-23-6",148.743600,-80.362300,90.000000,top
"U4","SPX3819M5-L-3-3","SOT-23-5",138.405100,-75.212800,180.000000,top
